Venue,Seating Capacity,Classes Scheduled,Average Space Utilization %
Acad Block A-1,55,4,75.0
Acad Block A-10,100,2,27.5
Acad Block A-11,107,3,52.96
Acad Block A-12,86,3,52.33
Acad Block A-14,79,4,71.2
Acad Block A-15,79,3,63.29
Acad Block A-16,79,4,83.54
Acad Block A-2,31,4,68.55
Acad Block A-3,71,3,81.69
Acad Block A-4,83,4,72.29
Acad Block A-5,57,3,64.33
Acad Block A-6,28,3,83.33
Acad Block A-7,71,4,77.46
Acad Block A-8,83,5,57.83
Acad Block A-9,51,3,77.78
Acad Block MCB Acad Block A-13,202,4,48.39
Acad Block SS,195,4,66.28
LAB-1,79,1,75.95
LAW-FACLOU,32,1,75.0
Lib Bldg SOE 01,62,1,64.52
Lib Bldg SOE 02,62,1,32.26
Lib Bldg SOE 03,62,4,39.92
SAHSOL ARDCR 0-07,71,3,72.77
SAHSOL CR 1-01,71,3,72.77
SAHSOL CR 1-06,32,4,82.03
SAHSOL CR 1-07,71,1,84.51
SAHSOL CR 2-01,32,4,78.12
SAHSOL CR 2-02,32,2,78.12
SAHSOL CR 2-06,32,4,81.25
SAHSOL CR 2-07,32,4,85.94
SAHSOL GHKCR 0-02,32,3,72.92
SAHSOL MMACR 1-02,32,2,78.12
SAHSOL SBACR 0-01,71,4,76.41
SAHSOL SIACR 0-06,32,1,90.62
SBASSE 10-201,224,3,48.36
SBASSE 10-202,50,5,66.0
SBASSE 10-204,40,4,87.5
SBASSE 10-301,224,3,53.57
SBASSE 10-302,30,3,100.0
SBASSE 10-304,50,3,56.67
SBASSE 9-B2,264,4,47.82
SBASSE PRGST,102,2,58.82
SDSB 101,60,5,91.67
SDSB 105,56,4,84.82
SDSB 201,60,5,93.33
SDSB 203,86,5,65.12
SDSB 204,86,5,66.28
SDSB 205,40,3,97.5
SDSB 305,42,2,91.67
SDSB B-1,150,4,36.67
SDSB B-2,150,6,43.89
SDSB B-3,286,3,82.75
SDSB TRDLB,82,6,68.09
